,이름,사용가능시간,구분,사용가능,사용중,사용불가,도로명주소,연락처,충전요금,급속충전량,참고사항
0,DMC 산학협력연구센터,24시간 이용가능,급속,1,0,0,서울특별시 마포구 매봉산로 37 ,1661-9408,유료,급속(100kW멀티),10분/500원 
1,Park M (주차복합빌딩),24시간 이용가능,급속,2,0,0,서울특별시 마포구 매봉산로 80 ,1661-9408,무료,급속(200kW동시),"최초30분 1500원, 10분당 500원 주민센터이용 50% 할인 "
2,SETEC,24시간 이용가능,급속,1,0,0,서울특별시 강남구 남부순환로3104 ,1661-9408,유료,급속(100kW멀티),"충전차량에한하여 1시간무료 10분당500월 일주차15,000원 "
3,sh서울주택도시공사,24시간 이용가능,급속,2,0,0,서울특별시 강남구 개포로 621 ,1661-9408,유료,급속(200kW동시),없음 
4,가로공원로 지하공영주차장,24시간 이용가능,급속,1,0,0,서울특별시 강서구 가로공원로 189  지하주차장 05,1661-9408,유료,급속(50kW),주차요금 별도 
5,가양레포츠센터,24시간 이용가능,급속,1,0,0,서울특별시 강서구 양천로61길 101 ,1661-9408,유료,급속(100kW멀티),없음 
6,가오리 공영주차장,24시간 이용가능,급속,1,0,0,서울특별시 강북구 삼양로107길 30 ,1661-9408,유료,급속(100kW멀티),5분/150원 친환경차 50% 감면 
7,강남구청 삼성로 별관 부설 주차장,09:00~18:00,급속,0,1,0,서울특별시 강남구 삼성로 628 ,1661-9408,무료,급속(100kW멀티),"5분당 300원, 주말 무료 "
8,강남치매지원센터 공영노외주차장,24시간 이용가능,급속,2,0,0,서울특별시 강남구 선릉로108길 27 ,1661-9408,무료,급속(200kW동시),5분당400원 
9,강동구청,24시간 이용가능,급속,2,0,0,서울특별시 강동구 성내로 25 ,1661-9408,유료,급속(200kW동시),5분 250원 친환경차 50% 감면 
10,강변 공영주차장,24시간 이용가능,급속,2,0,0,서울특별시 성동구 둘레길 47-5 ,1661-9408,무료,급속(200kW동시),5분당 100원 저공해차량 50% 할인 
11,강서구민올림픽체육센터,24시간 이용가능,급속,0,1,0,서울특별시 강서구 화곡로65길62 ,1661-9408,유료,급속(100kW멀티),없음 
12,개봉1동 주민센터 옆 공영주차장,24시간 이용가능,급속,1,0,0,서울특별시 구로구 개봉동 134-8 ,1661-9408,유료,급속(100kW멀티),1시간무료 /구매금액별 50%감면 친환경차 50% 감면 
13,개포동공원 공영주차장,24시간 이용가능,급속,1,0,0,"서울특별시 강남구 개포로 509 , 지하주차장 1층 8구역(개포동 183-2)",1661-9408,유료,급속(50kW),주차비 10분 200원(친환경차 50% 감면) 
14,거여동공영주차장,24시간 이용가능,급속,1,0,0,서울특별시 송파구 오금로68길8 ,1661-9408,유료,급속(100kW멀티),없음 
15,곰달래공영주차장,24시간 이용가능,급속,1,0,0,서울특별시 양천구 곰달래로10길 4 ,1661-9408,무료,급속(100kW멀티),5분당 50원 
16,곰달래문화복지센터 공영주차장,24시간 이용가능,급속,0,1,0,서울특별시 강서구 강서로5길 50  지상주차장,1661-9408,유료,급속(50kW),주차요금 별도 
17,공덕1-1공영주차장,24시간 이용가능,급속,0,1,0,서울특별시 마포구 효창목길 31  옥상,1661-9408,유료,급속(50kW),주차요금 별도 
18,구로리공원 앞(공중전화부스),24시간 이용가능,급속,0,1,0,서울특별시 구로구 구로동 136-14 (구로동 136-14),1661-9408,유료,급속(50kW),없음 
19,구룡공원 공영주차장,24시간 이용가능,급속,2,0,0,서울특별시 서초구 양재동 301-6 ,1661-9408,무료,급속(200kW동시),10분당 300원 저공해차량 50% 할인 
20,구민회관,09:00~18:00 이후 무료,급속,0,1,0,서울특별시 송파구 백제고분로 242 ,1661-9408,무료,급속(100kW멀티),"최초30분 무료, 이후 5분당 300원, 저공해차량 50% 할인 "
21,구파발광역환승센터 주차장,24시간 이용가능,급속,2,0,0,서울특별시 은평구 진관동 66-30 ,1661-9408,유료,급속(200kW동시),"1시간 면제, 이후 50% 감면 친환경차 50% 감면 "
22,구파발역 환승주차장,24시간 이용가능,급속,1,0,0,"서울특별시 은평구 진관동 66-30 , 지하주차장 1층 20구역",1661-9408,유료,급속(50kW),주차비 5분 무료 이후 5분당 50원(친환경차 50% 감면) 
23,국립극장,05:00~00:00,급속,2,0,0,서울특별시 중구 장충단로 59  국립극장 좌측 출구 주차장,1661-9408,유료,급속(50kW),주차요금 별도 
24,국방부 서문 주차장,24시간 이용가능,급속,0,1,0,서울특별시 용산구 한강대로 62다길 42 ,1661-9408,무료,급속(100kW멀티),없음 
25,국회도서관,24시간 이용가능,급속,2,0,1,"서울특별시 영등포구 의사당대로1, 국회도서관 앞 ",1661-9408,유료,"급속(50kW), 급속(100kW동시)",없음 
26,국회의원회관,09:00 ~ 18:00,급속,2,1,0,"서울특별시 영등포구 의사당대로1, 국회의원회관 주차장 우측 ",1661-9408,유료,"급속(50kW), 급속(100kW동시)",없음 
27,그랜드앰배서더 서울,24시간 이용가능,급속,1,0,0,"서울특별시 중구 동호로 287 , 대형버스주차장(장충동2가 186-54)",1661-9408,유료,급속(50kW),없음 
28,그랜드힐튼호텔,24시간 이용가능,급속,1,0,0,서울특별시 서대문구 연희로 353 ,1661-9408,유료,급속(50kW),없음 
29,난곡동 제1공영주차장,24시간 이용가능,급속,1,0,0,서울특별시 관악구 난곡로34나길 14  2층,1661-9408,유료,급속(50kW),주차요금 별도 
30,난향동 주민센터,24시간 이용가능,급속,0,1,0,서울특별시 관악구 난곡로 67 ,1661-9408,유료,급속(50kW),없음 
31,남가좌2동 공영주차장,24시간 이용가능,급속,1,0,0,서울특별시 서대문구 남가좌2동 3-75 ,1661-9408,무료,급속(100kW멀티),5분당 150원 
32,냉천길 공영주차장,24시간 이용가능,급속,1,0,0,서울특별시 강북구 삼양로 230-12 ,1661-9408,유료,급속(100kW멀티),5분/200원 친환경차 50% 감면 
33,노보텔,24시간 이용가능,급속,1,0,0,서울특별시 강남구 봉은사로 130  지하5층 우측,1661-9408,유료,급속(50kW),주차요금 별도 
34,노원에코센터,24시간 이용가능,급속,1,0,0,서울특별시 노원구 덕릉로 450 (상계동 770-2),1661-9408,유료,급속(50kW),없음 
35,노을공원,24시간 이용가능,급속,1,0,0,"서울특별시 마포구 상암동 482-116,  ",1661-9408,유료,급속(50kW),주차비 10분 300원 
36,논현로22길 공영주차장,24시간 이용가능,급속,1,0,0,서울특별시 강남구 개포로 25길 32 ,1661-9408,유료,급속(100kW멀티),"09:00~19:00 5분당 200원 시간당2,400원 이후시간 무료개방 친환경차 50% 감면 "
37,논현초교 공영노외주차장,24시간 이용가능,급속,2,0,0,서울특별시 강남구 강남대로120길 33 ,1661-9408,무료,급속(200kW동시),5분당300원 
38,다락골공영주차장,24시간 이용가능,급속,1,0,0,서울특별시 양천구 중앙로29길 41 ,1661-9408,무료,급속(100kW멀티),5분당 50원 
39,당산에스에이치빌 아파트 앞,24시간 이용가능,급속,1,0,0,서울특별시 영등포구 영신로 183 ,1661-9408,유료,급속(50kW),주차요금 별도 
40,대청역 공영주차장,24시간 이용가능,급속,1,0,0,서울특별시 강남구 개포동 13-2 ,1661-9408,유료,급속(100kW멀티),"5분당 100원 시간당 1,200원 친환경차 50% 감면 "
41,도봉구청,09:00~18:00,급속,2,0,0,서울특별시 도봉구 마들로 656 ,1661-9408,유료,급속(200kW동시),없음 
42,도봉기적의도서관,09:00~18:00,급속,2,0,0,서울특별시 광진구 광나루로56길 85 ,1661-9408,유료,급속(100kW멀티),없음 
43,도봉산환승주차장,24시간 이용가능,급속,2,0,0,서울특별시 도봉구 도봉동 341-1 ,1661-9408,유료,급속(200kW동시),1시간 무료 충전 영수증 지참시 무료 친환경차 50% 감면 
44,독산1동 공영주차장,24시간 이용가능,급속,1,0,0,"서울특별시 금천구 범안로12가길 65 , 독산1동 공영주차장 옥상(독산동 1006-94)",1661-9408,유료,급속(50kW),주차비 10분 65원(친환경차 50% 감면) 
45,동대문구청,24시간 이용가능,급속,0,1,0,서울특별시 동대문구 천호대로 145  동대문구청 옥외주차장,1661-9408,유료,급속(50kW),주차요금 별도 
46,동작주차공원 공영주차장,24시간 이용가능,급속,1,0,0,"서울특별시 동작구 현충로 213 , 출입구 왼쪽(동작동 326)",1661-9408,유료,급속(50kW),주차비 10분 100원(친환경차 50% 감면) 
47,롯데 VIC마켓 금천점,24시간 이용가능,급속,2,0,0,서울특별시 금천구 두산로 71 (독산동) ,1661-9408,유료,급속(50kW),없음 
48,롯데 VIC마켓 도봉점,10:00 ~ 22:00,급속,1,0,0,서울특별시 도봉구 마들로 645 (방학동) ,1661-9408,유료,급속(50kW),없음 
49,롯데 빅마켓,24시간 이용가능,급속,6,0,0,"서울특별시 영등포구 영중로 125, 지상주차장(외부 1F) ",031-994-6115,유료,"급속(50kW), 급속(100kW동시)",없음 
50,롯데마트 구로점,10:00~24:00,급속,0,1,0,"서울특별시 구로구 경인로 482 , 지상주차장 5층(구로동 636-89)",1661-9408,유료,급속(50kW),없음 
51,롯데마트 김포공항점,24시간 이용가능,급속,1,0,0,"서울특별시 강서구 하늘길 77 , 지하주차장 1층 A-18구역(방화동 886)",1661-9408,유료,급속(50kW),주차비 30분 무료 후 30분당 1000원 
52,롯데마트 삼양점,10:00~24:00,급속,0,1,0,"서울특별시 강북구 삼양로 247 삼양시장, 지상주차장 3층 324구역(미아동 1359)",1661-9408,유료,급속(50kW),없음 
53,롯데마트 서울양평점,24시간 이용가능,급속,2,0,0,서울특별시 영등포구 선유로 138 5층,1661-9408,유료,급속(100kW멀티),없음 
54,롯데마트 송파점,10:00~24:00,급속,1,0,0,서울특별시 송파구 중대로 80  지하4층 C8,1661-9408,유료,급속(50kW),주차요금 별도 
55,롯데마트 은평점,07:00~23:30,급속,2,0,0,서울특별시 은평구 통일로 1050 ,1661-9408,무료,급속(200kW동시),"최초30분 무료, 30분당 1000원 "
56,롯데마트 잠실점,10:00~24:00,급속,0,0,1,"서울특별시 송파구 올림픽로 240 , 지하주차장 1층 M148구역(잠실동 40-1)",1661-9408,유료,급속(50kW),주차비 1시간 무료 
57,롯데마트 중계점,10:00~24:00,급속,1,0,0,서울특별시 노원구 노원로 330  옥상 매장 앞,1661-9408,유료,급속(50kW),주차요금 별도 
58,롯데백화점 본점,09:00~21:00,급속,4,0,0,서울특별시 중구 을지로 30 ,1661-9408,유료,급속(200kW동시),1시간무료/10분 1000원 
59,마곡레포츠센터 ,24시간 이용가능,급속,0,0,1,"서울특별시 강서구 양천로 251, 입구 우측 ",1661-9408,유료,급속(50kW),없음 
60,마장동사무소 앞(공중전화부스),24시간 이용가능,급속,1,0,0,서울특별시 성동구 마장동 808 (마장동 808),1661-9408,유료,급속(50kW),없음 
61,마장축산물시장 서문 공영주차장,24시간 이용가능,급속,2,0,0,서울특별시 성동구 고산자로 26길 6 ,1661-9408,유료,급속(200kW동시),1시간 무료 친환경차 50% 감면 
62,마천동2공영주차장,24시간 이용가능,급속,1,0,0,서울특별시 송파구 성내천로299-7 ,1661-9408,유료,급속(100kW멀티),없음 
63,마포공영주차장,24시간 이용가능,급속,2,2,0,서울특별시 마포구 마포대로1길 9 ,1661-9408,유료,급속(400kW동시),최초5분 250원/ 5분당 250원 친환경차 50% 감면 
64,마포중앙도서관,24시간 이용가능,급속,1,0,0,서울특별시 마포구 성산로 128 ,1661-9408,무료,급속(100kW멀티),5분당 200원 저공해차량 50% 할인 
65,망원동 공영주차장1,24시간 이용가능,급속,0,4,0,서울특별시 마포구 동교로1길 39 ,1661-9408,무료,급속(200kW동시),5분당150원 저공해차량 50% 할인 
66,메이필드호텔,24시간 이용가능,급속,1,0,0,"서울특별시 강서구 방화대로 94 , 호텔 정면 주차장(외발산동 426)",1661-9408,유료,급속(50kW),없음 
67,목2동 주민센터,24시간 이용가능,급속,1,0,0,서울특별시 양천구 목동 중앙본로 120 ,1661-9408,유료,급속(100kW멀티),없음 
68,목4동주민센터,24시간 이용가능,급속,0,1,0,서울특별시 양천구 목동중앙로 25  ,1661-9408,무료,급속(100kW멀티),없음 
69,문화회관동측 주차장,09:00~18:00 이후 무료,급속,1,0,0,서울특별시 양천구 신정6동 322-5 ,1661-9408,무료,급속(100kW멀티),5분당150원 저공해차량 50% 할인 
70,미도아파트 앞 공영주차장,24시간 이용가능,급속,0,1,0,서울특별시 서초구 반포동 49-8 ,1661-9408,무료,급속(100kW멀티),10분당 300원 저공해차량 50% 할인 
71,미아동 공영주차장,24시간 이용가능,급속,1,0,0,서울특별시 강북구 도봉로 61길 46 ,1661-9408,유료,급속(100kW멀티),5분/150원 친환경차 50% 감면 
72,번동햇살 공영주차장,10:00 ~ 19:00 ( 마지막 주차가능 시간 18:20),급속,0,1,0,"서울특별시 강북구 오현로 21길 84, 옥상 주차장 ",1661-9408,유료,급속(50kW),"1시간 무료,5분 150원 "
73,볏골공원 지하공영주차장,24시간 이용가능,급속,0,0,1,서울특별시 강서구 까치산로4길 22  지하주차장 101,1661-9408,유료,급속(50kW),주차요금 별도 
74,보라매 제1공영주차장,24시간 이용가능,급속,1,0,0,서울특별시 관악구 봉천로21길 38  입구좌측,1661-9408,유료,급속(50kW),주차요금 별도 
75,부암동 주민센터,24시간 이용가능,급속,1,0,0,서울특별시 종로구 창의문로 145 ,1661-9408,유료,급속(100kW멀티),없음 
76,북한산국립공원 정릉탐방지원센터,24시간 이용가능,급속,1,0,0,서울특별시 성북구 정릉동 829-1 ,1661-9408,유료,급속(100kW멀티),10분/250원 충전차량에한하여 1시간 무료 
77,북한산국립공원주차장,24시간 이용가능,급속,1,0,0,서울특별시 은평구 진관동 278 ,1661-9408,유료,급속(100kW멀티),최초 1시간 1500(승용차기준) 10분 250원 
78,빅마켓 도봉점,10:00~22:00,급속,1,0,0,"서울특별시 도봉구 마들로 645 , 지상주차장 4층 406구역(방학동 717-9)",1661-9408,유료,급속(50kW),없음 
79,사당역 공영주차장,24시간 이용가능,급속,1,0,0,"서울특별시 서초구 과천대로 950-18 , 지상주차장 북주차장(우측)(방배동 507-1)",1661-9408,유료,급속(50kW),없음 
80,상계2동 공영주차장,24시간 이용가능,급속,1,0,0,서울특별시 노원구 상계2동 373-13 ,1661-9408,유료,급속(100kW멀티),없음 
81,상암1 공영주차장,24시간 이용가능,급속,2,0,0,서울특별시 마포구 성암로 197 ,1661-9408,무료,급속(200kW동시),5분당 200원 저공해차량 50% 할인 
82,서울대입구 교차로,24시간 이용가능,급속,1,1,0,서울특별시 관악구 대학동 154-3 ,1661-9408,유료,급속(50kW),주차요금 별도 
83,서울만남휴게소(부산방향),24시간 이용가능,급속,1,0,1,서울특별시 서초구 양재대로12길 73-71 (원지동) ,1661-9408,유료,급속(50kW),없음 
84,서울시인재개발원,24시간 이용가능,급속,0,1,0,서울특별시 서초구 남부순환로 340길 58 ,1661-9408,유료,급속(50kW),주차요금 별도 
85,서울약령시 공영주차장,24시간 이용가능,급속,2,0,0,서울특별시 동대문구 약령중앙로 26 ,1661-9408,유료,급속(200kW동시),10분/300원 친환경차 50% 감면 
86,서울역사박물관,24시간 이용가능,급속,2,0,0,서울특별시 종로구 새문안로 55 ,1661-9408,유료,급속(200kW동시),"5분당/400원(최초1시간 1,000원) 친환경차 50% 감면 "
87,서울의료원,24시간 이용가능,급속,1,0,0,"서울특별시 중랑구 신내로 156 , 입구 좌측 주차장(신내동 316)",1661-9408,유료,급속(50kW),없음 
88,서울추모공원,24시간 이용가능,급속,1,0,0,서울특별시 서초구 양재대로12길 74  1층 입구,1661-9408,유료,급속(50kW),주차요금 별도 
89,서초구청,23시간 이용(09:00~08:00),급속,0,1,0,서울특별시 서초구 남부순환로 2584 ,1661-9408,유료,급속(100kW멀티),10분/500원 친환경차 50% 감면 
90,성북벤처빌딩 공영주차장,24시간 이용가능,급속,1,0,0,서울특별시 성북구 장위2동 65-154 (장위2동 65-154),1661-9408,유료,급속(50kW),없음 
91,성수 2가1동 공영주차장,24시간 이용가능,급속,2,0,0,서울특별시 성동구 성덕정길 115 ,1661-9408,무료,급속(200kW동시),5분당 100원 저공해차량 50% 할인 
92,성수2가 공영주차장,24시간 이용가능,급속,4,0,0,서울특별시 성동구 광나루로4가길 23 ,1661-9408,유료,급속(400kW동시),1시간 무료 친환경차 50% 감면 
93,성애병원,24시간 이용가능,급속,1,0,0,서울특별시 영등포구 여의대방로 53길 22 ,1661-9408,유료,급속(100kW멀티),10분/500원(입차후 30분 무료) 
94,세종로 공영주차장,24시간 이용가능,급속,1,0,0,"서울특별시 종로구 세종대로 189 , 지하주차장 4층 D구역 계단실 앞(세종로 80-1)",1661-9408,유료,급속(50kW),주차비 저공해스티커 있을시 5분당 150원 
95,송정동 공영주차장,24시간 이용가능,급속,1,0,0,서울특별시 성동구 동일로 199 ,1661-9408,유료,급속(100kW멀티),1시간 무료 친환경차 50% 감면 
96,수서역 공영주차장,24시간 이용가능,급속,1,0,0,"서울특별시 강남구 수서동 735 , 지상주차장 북주차장(우측)",1661-9408,유료,급속(50kW),주차비 10분 200원 
97,수유마을시장 공영주차장,"평일07:00~22:00,토일 09:00~18:00",급속,1,0,0,서울특별시 강북구 도봉로 69길 29 ,1661-9408,유료,급속(100kW멀티),5분/100원 친환경차 50% 감면 
98,스탠포드호텔코리아,24시간 이용가능,급속,1,0,0,"서울특별시 마포구 상암동 월드컵북로 58길 15, 지하4층 18 ",1661-9408,유료,급속(50kW),없음 
99,시민의숲동측 공영주차장,24시간 이용가능,급속,0,1,1,서울특별시 서초구 양재동 237 ,1661-9408,무료,급속(200kW동시),10분당 300원 저공해차량 50% 할인 
100,시설관리공단 마포유수지주차장,24시간 이용가능,급속,1,0,0,"서울특별시 마포구 마포대로1길 19 , 지상주차장(마포동 36-1)",1661-9408,유료,급속(50kW),주차비 10분 250원(친환경차 50% 감면) 
101,시흥제4동공영주차장,24시간 이용가능,급속,1,0,0,"서울특별시 금천구 독산로 36나길 21, B1 18 ",1661-9408,유료,급속(50kW),"1시간 무료,10분 130원 "
102,신길 제5동 주민센터,24시간 이용가능,급속,1,0,0,서울특별시 영등포구 도림로 264  ,1661-9408,유료,급속(50kW),주차요금 별도 
103,신길4동1마을공원 공영주차장,24시간 이용가능,급속,1,0,0,서울특별시 영등포구 신길로40길 5  1층 정면,1661-9408,유료,급속(50kW),주차요금 별도 
104,신림동 제1공영주차장,24시간 이용가능,급속,1,0,0,서울특별시 관악구 관천로 98  1층,1661-9408,유료,급속(50kW),주차요금 별도 
105,신월5동 주민센터,24시간 이용가능,급속,1,0,0,서울특별시 양천구 화곡로4길 10 ,1661-9408,유료,급속(100kW멀티),없음 
106,신정1동 주민센터,24시간 이용가능,급속,1,0,0,서울특별시 양천구 중앙로 32길 1 ,1661-9408,유료,급속(100kW멀티),없음 
107,신정3동 넓은들 민원센터,24시간 이용가능,급속,2,0,0,서울특별시 양천구 남부순환로 88길 5-7 ,1661-9408,유료,급속(200kW동시),없음 
108,신창동 공영주차장,24시간 이용가능,급속,0,1,0,서울특별시 용산구 원효로35길 53  옥상,1661-9408,유료,급속(50kW),주차요금 별도 
109,실증용 Mock-up 주택 홍보관,24시간 이용가능,급속,1,1,0,서울특별시 노원구 하계동 251-8 ,1661-9408,유료,급속(50kW),주차요금 별도 
110,쌍문2동 제3공영주차장,24시간 이용가능,급속,1,0,0,서울특별시 도봉구 쌍문2동 710-4 ,1661-9408,유료,급속(100kW멀티),없음 
111,쌍문3동 제2공영주차장,24시간 이용가능,급속,1,0,0,"서울특별시 도봉구 쌍문3동 315-62, 지하 1층 안쪽 ",1661-9408,유료,급속(50kW),없음 
112,아시아공원 공영주차장,24시간 이용가능,급속,3,0,0,서울특별시 송파구 잠실동 84  우측 끝,1661-9408,유료,급속(50kW),주차요금 별도 
113,암사1동 공영주차장,24시간 이용가능,급속,1,0,0,서울특별시 강동구 고덕로28길 36  지하1층 좌측,1661-9408,유료,급속(50kW),주차요금 별도 
114,압구정로29길 공영노상주차장,24시간 이용가능,급속,1,0,0,서울특별시 강남구 압구정동 453 ,1661-9408,유료,급속(100kW멀티),"09:00~19:00 5분당 200원 시간당2,400원 (할증 2시간이후 5분 400원 시간당 4,800원 친환경차 50% 감면 "
115,양화진 공영주차장,24시간 이용가능,급속,2,0,0,서울특별시 마포구 토정로 2 ,1661-9408,무료,급속(200kW동시),500분당 100원 저공해차량 50%할인 
116,양화진공영주차장,24시간 이용가능,급속,1,0,0,서울특별시 마포구 토정로 2  2층 계단쪽,1661-9408,유료,급속(50kW),주차요금 별도 
117,어린이대공원 후문주차장,24시간 이용가능,급속,1,0,0,서울특별시 광진구 능동로 216 어린이대공원 후문주차장,1661-9408,유료,급속(50kW),주차요금 별도 
118,영등포 제3공영,24시간 이용가능,급속,1,0,0,서울특별시 영등포구 영중로3길 7  지하1층 여성전용구역,1661-9408,유료,급속(50kW),주차요금 별도 
119,영등포구 대신시장(공중전화부스),24시간 이용가능,급속,1,0,0,서울특별시 영등포구 신길1동 116-15 (신길1동 116-15),1661-9408,유료,급속(50kW),없음 
120,영등포구청 환승공영주차장,06:00~21:00,급속,1,0,0,"서울특별시 영등포구 양산로111 , 왼쪽 끝편 주차장(당산동3가 370-4)",1661-9408,유료,급속(50kW),없음 
121,영등포본동제1(공영주차장),24시간 이용가능,급속,0,0,1,서울특별시 영등포구 영신로 10길 15 ,1661-9408,무료,급속(100kW멀티),5분당 100원 
122,예금보험공사,24시간 이용가능,급속,2,0,0,서울특별시 중구 청계천로 30 ,1661-9408,무료,급속(200kW동시),최초 60분 무료 이후 30분 2000원 이후 10분당 500원 
123,올림픽공원,24시간 이용가능,급속,0,1,0,서울특별시 송파구 올림픽로 424  ,1661-9408,무료,급속(100kW멀티),"최초 60분 1000원, 이후 10분당 500원 친환경차량 50% 할인 "
124,용답동 공영주차장,24시간 이용가능,급속,2,0,0,서울특별시 성동구 용답동 4-1 ,1661-9408,유료,급속(200kW동시),없음 
125,용마폭포공원 공영주차장,24시간 이용가능,급속,1,0,0,서울특별시 중랑구 용마산로 250-12  출구쪽,1661-9408,유료,급속(50kW),주차요금 별도 
126,우리은행본점,24시간 이용가능,급속,2,0,0,서울특별시 중구 소공로 51번지 ,02-3151-2219,유료,급속(50kW),없음 
127,원신 공영주차장,24시간 이용가능,급속,1,0,0,서울특별시 관악구 양지길 63  옥상,1661-9408,유료,급속(50kW),주차요금 별도 
128,은평구민체육센터,24시간 이용가능,급속,1,0,0,서울특별시 은평구 진관1로 40  입구 앞,1661-9408,유료,급속(50kW),주차요금 별도 
129,응봉동 공영주차장,24시간 이용가능,급속,2,0,0,서울특별시 성동구 독서당로63길 40 ,1661-9408,무료,급속(200kW동시),5분당 100원 저공해차량 50% 할인 
130,이마트 명일점,10:00~24:00,급속,1,0,0,"서울특별시 강동구 고덕로 276 , 지하주차장 1층 E구역(명일동 46-4)",1661-9408,유료,급속(50kW),없음 
131,이마트 양재점,09:00~24:00,급속,1,0,0,"서울특별시 서초구 매헌로 16 , 지하주차장 2층 Z구역(양재동 215)",1661-9408,유료,급속(50kW),주차비 1시간 무료 
132,이마트 은평점,10:00~24:00,급속,0,1,0,"서울특별시 은평구 은평로 111 , 지하주차장 4층 A구역(응암동 90-1)",1661-9408,유료,급속(50kW),없음 
133,이마트 은평점,06:00~23:00,급속,1,0,0,서울특별시 은평구 은평로 111 ,1661-9408,유료,급속(100kW멀티),없음 
134,이마트 이문점,10:00~24:00,급속,1,0,0,"서울특별시 동대문구 이문로 136 , 지하주차장 1층 D-04(이문동 292-10)",1661-9408,유료,급속(50kW),없음 
135,이태원2동공영주차장,24시간 이용가능,급속,1,0,0,서울특별시 용산구 회나무로 55？  ,1661-9408,유료,급속(100kW멀티),5분/250원 친환경차 50% 감면 
136,일원2동 주민센터,24시간 이용가능,급속,0,1,0,서울특별시 강남구 개포로 607 ,1661-9408,무료,급속(100kW멀티),없음 
137,일원본동 주민센터,24시간 이용가능,급속,0,1,0,서울특별시 강남구 광평로 126 ,1661-9408,무료,급속(100kW멀티),없음 
138,제일모직아울렛 건너편(공중전화부스),24시간 이용가능,급속,1,0,0,서울특별시 금천구 가산동 239-27 (가산동 239-27),1661-9408,유료,급속(50kW),없음 
139,조원동 제1공영주차장,24시간 이용가능,급속,1,0,0,서울특별시 관악구 신림동 571-6 (신림동 571-6),1661-9408,유료,급속(50kW),없음 
140,종묘 공영주차장,24시간 이용가능,급속,1,0,0,"서울특별시 종로구 종로 157 , 지하주차장 4층 하층 T구역(훈정동 1-2)",1661-9408,유료,급속(50kW),주차비 5분 200원(저공해스티커 부착시) 
141,중앙대학교병원 다정관 주차장,24시간 이용가능,급속,1,0,0,서울특별시 동작구 흑석로 102  다정관 뒤편,1661-9408,유료,급속(50kW),주차요금 별도 
142,창2동 제4공영주차장,24시간 이용가능,급속,1,0,0,서울특별시 도봉구 창2동 582-22 ,1661-9408,유료,급속(50kW),"1시간 무료,5분 100원 "
143,창3동 제1공영주차장,24시간 이용가능,급속,1,0,0,"서울특별시 도봉구 창3동 504-21, 좌측 안쪽 ",1661-9408,유료,급속(50kW),"1시간 무료,5분 100원 "
144,창천공영주차장,24시간 이용가능,급속,1,0,0,"서울특별시 마포구 노고산동 33-1, B3 28 ",1661-9408,유료,급속(50kW),"1시간 무료,5분 200원 "
145,천마공영주차장,24시간 이용가능,급속,1,0,0,서울특별시 송파구 성내천로33가길20 ,1661-9408,유료,급속(100kW멀티),없음 
146,천왕역 환승주차장,24시간 이용가능,급속,0,0,1,"서울특별시 구로구 오류동 174-10 , 천왕역 환승주차장 1층",1661-9408,유료,급속(50kW),주차비 5분 50원(친환경차 50%감면) 
147,천호3동 제1공영주차장,24시간 이용가능,급속,1,0,0,서울특별시 강동구 진황도로29길 34  지하1층 26,1661-9408,유료,급속(50kW),주차요금 별도 
148,천호유수지 공영주차장,24시간 이용가능,급속,1,0,0,서울특별시 강동구 선사로 70  입구 좌측 끝,1661-9408,유료,급속(50kW),주차요금 별도 
149,청량리롯데백화점,24시간 이용가능,급속,1,0,0,"서울특별시 동대문구 왕산로 214 , 주차장 옥상(전농동 591-53)",1661-9408,유료,급속(50kW),없음 
150,충현동 제1공영주차장,24시간 이용가능,급속,0,1,0,서울특별시 서대문구 충정로2가 78-13 ,1661-9408,무료,급속(100kW멀티),5분당 150원 
151,탄천물재생센터,24시간 이용가능,급속,2,0,0,서울특별시 강남구 개포로 625 ,1661-9408,무료,급속(200kW동시),10분당 200원 
152,탄천제2호 공영주차장,24시간 이용가능,급속,0,1,0,서울특별시 강남구 일원동 4-49 ,1661-9408,유료,급속(50kW),주차비 10분 200원 
153,태화빌딩,24시간 이용가능,급속,1,0,0,서울특별시 종로구 인사동5길 29  지상주차장,1661-9408,유료,급속(50kW),주차요금 별도 
154,파크하얏트서울호텔,24시간 이용가능,급속,0,1,0,서울특별시 강남구 테헤란로606 ,1661-9408,유료,급속(50kW),없음 
155,하늘공원주차장,24시간 이용가능,급속,1,0,0,서울특별시 구로구 벚꽃로 370  ,1661-9408,유료,급속(100kW멀티),1시간무료 /구매금액별 50%감면 친환경차 50% 감면 
156,하왕십리 공영주차장,24시간 이용가능,급속,2,0,0,서울특별시 성동구 무학봉15길 48 ,1661-9408,무료,급속(200kW동시),5분당 100원 저공해차량 50% 할인 
157,학여울역 공영주차장,05:00~익일01:00,급속,1,0,0,"서울특별시 강남구 남부순환로 3104 , 지하주차장 3층 M418구역(대치동 514)",1661-9408,유료,급속(50kW),주차비 5분 50원(친환경차 50% 감면) 
158,한강진역 공영주차장,24시간 이용가능,급속,1,0,0,"서울특별시 용산구 한남동 산10-84 , 지상실외주차장",1661-9408,유료,급속(50kW),주차비 10분 250원(친환경차 50% 감면) 
159,한국예술종합학교(종로),24시간 이용가능,급속,0,1,0,서울특별시 종로구 창경궁로 215  우측,1661-9408,유료,급속(50kW),주차요금 별도 
