,이름,사용가능시간,구분,사용가능,사용중,사용불가,도로명주소,연락처,충전요금,급속충전량,참고사항
1207,주덕읍사무소,24시간 이용가능,급속,1,0,0,충청북도 충주시 주덕읍 신덕로 1359 ,1661-9408,유료,급속(100kW멀티),없음 
1208,죽암휴게소(부산방향),24시간 이용가능,급속,0,1,0,충청북도 청주시 서원구 현도면 경부고속도로 289 ,1661-9408,유료,급속(50kW),없음 
1209,죽암휴게소(부산방향),24시간 이용가능,급속,0,1,0,충청북도 청주시 서원구 현도면 경부고속도로 289 휴게소 정면 좌측 쉼터 주차장(선동리 284-14),1661-9408,유료,급속(50kW),없음 
1210,죽암휴게소(서울방향),24시간 이용가능,급속,2,0,0,충청북도 청주시 서원구 현도면 경부고속도로 290 ,1661-9408,유료,급속(50kW),없음 
1211,죽암휴게소(서울방향),24시간 이용가능,급속,1,0,0,충청북도 청주시 서원구 현도면 경부고속도로 290 휴게소 입구 우측 끝(차량정비소 좌측 끝)(죽전리 40),1661-9408,유료,급속(50kW),없음 
1212,증평인삼관광휴게소,24시간 이용가능,급속,1,0,0,충청북도 증평군 증평읍 중부로 2451 (중부로 2451),1661-9408,유료,급속(50kW),없음 
1213,진천화랑관,24시간 이용가능,급속,0,1,1,충청북도 진천군 문화로 69-4 ,1661-9408,유료,급속(200kW동시),없음 
1214,천등산휴게소(제천방향),24시간 이용가능,급속,2,0,0,충청북도 충주시 산척면 용암길 94 ,1661-9408,유료,급속(200kW동시),없음 
1215,천등산휴게소(평택방향),24시간 이용가능,급속,2,0,0,충청북도 충주시 산척면 평택제천고속도로 109 (영덕리) ,1661-9408,유료,급속(50kW),없음 
1216,청성면사무소,24시간 이용가능,급속,1,0,0,충청북도 옥천군 청성면 산계길 53 ,1661-9408,유료,급속(100kW멀티),없음 
1217,청안면사무소,24시간 이용가능,급속,1,0,0,충청북도 괴산군 청안면 청안읍내로2길10 ,1661-9408,유료,급속(50kW),없음 
1218,청주공항,24시간 이용가능,급속,2,0,0,충청북도 청주시 청원구 내수읍 오창대로 980 ,1661-9408,유료,급속(100kW멀티),없음 
1219,청주분평동주민센터,24시간 이용가능,급속,0,1,0,충청북도 청주시 서원구 분평동 1252 ,1661-9408,유료,급속(50kW),없음 
1220,청주시 제2청사,24시간 이용가능,급속,1,0,0,충청북도 청주시 상당구 북문로1가 171-3 ,1661-9408,무료,급속(100kW멀티),없음 
1221,청주시 차량등록사업소,24시간 이용가능,급속,1,0,0,충청북도 청주시 흥덕구 무심서로 857 (무심서로 857),1661-9408,유료,급속(50kW),없음 
1222,청주시청,"평일 8:30분 ~22:00, 주말 24시간",급속,2,0,0,충청북도 청주시 상당구 북문로3가 97 ,1661-9408,무료,급속(200kW동시),없음 
1223,청주휴게소(서울방향),24시간 이용가능,급속,1,0,0,충청북도 청주시 흥덕구 옥산면 경부고속도로 318 (장남리) ,1661-9408,유료,급속(50kW),없음 
1224,청주휴게소(서울방향),24시간 이용가능,급속,1,0,0,충청북도 청주시 흥덕구 옥산면 경부고속도로 318 ,1661-9408,유료,급속(100kW멀티),없음 
