"sid","name","u_time","agency","do","city","gu","c_add","phone","fee","etc","create_date"
"ME174152","한강유역환경청","07:00~24:00","환경부(한국자동차환경협회)","경기도","하남시","미사강변","경기도 하남시 미사강변 한강로 299  지하주차장 입구 앞","1661-9408","유료","주차요금 별도 ","Wed Sep 23 14:00:54 2020"
"ME174153","유앤아이센터","24시간 이용가능","환경부(한국자동차환경협회)","경기도","화성시","태안로","경기도 화성시 태안로 145  주차장","1661-9408","유료","주차요금 별도 ","Wed Sep 23 14:00:54 2020"
"ME174154","유승기업(현대블루핸즈)","24시간 이용가능","환경부(한국자동차환경협회)","대전광역시","대전시","서구","대전광역시 서구 계룡로 510  현대사무실 옆","1661-9408","유료","주차요금 별도 ","Wed Sep 23 14:00:54 2020"
"ME174155","목원대학교","24시간 이용가능","환경부(한국자동차환경협회)","대전광역시","대전시","서구","대전광역시 서구 도안북로 88  정문 오른쪽 캠퍼스타운 주차장 ","1661-9408","유료","주차요금 별도 ","Wed Sep 23 14:00:54 2020"
"ME174156","대전정부청사 내 주차장","24시간 이용가능","환경부(한국자동차환경협회)","대전광역시","대전시","서구","대전광역시 서구 청사로 189  정부대전청사 후생동 지하주차장 입구 근처","1661-9408","유료","주차요금 별도 ","Wed Sep 23 14:00:54 2020"
"ME174157","KT가정빌딩","24시간 이용가능","환경부(한국자동차환경협회)","대전광역시","대전시","유성구","대전광역시 유성구 가정로 168  입구 경비실 앞 주차장","1661-9408","유료","주차요금 별도 ","Wed Sep 23 14:00:54 2020"
"ME174158","롯데마트 대덕테크노밸리점","24시간 이용가능","환경부(한국자동차환경협회)","대전광역시","대전시","유성구","대전광역시 유성구 관평동 887  옥외주차장 검품장 근처","1661-9408","유료","주차요금 별도 ","Wed Sep 23 14:00:54 2020"
"ME174159","현대자동차(반석점)","24시간 이용가능","환경부(한국자동차환경협회)","대전광역시","대전시","유성구","대전광역시 유성구 반석동 665-2  전시장 뒤편 사무실 입구 주차장","1661-9408","유료","주차요금 별도 ","Wed Sep 23 14:00:54 2020"
"ME174160","롯데마트 노은점","10:00~23:00","환경부(한국자동차환경협회)","대전광역시","대전시","유성구","대전광역시 유성구 하기동 519  지상4층 주차장 430기둥 옆","1661-9408","유료","주차요금 별도 ","Wed Sep 23 14:00:54 2020"
"ME174161","대전테크노파크 주차장","24시간 이용가능","환경부(한국자동차환경협회)","대전광역시","대전시","유성구","대전광역시 유성구 테크노 9로 35  입구 국기계양대 왼쪽","1661-9408","유료","주차요금 별도 ","Wed Sep 23 14:00:54 2020"
